review,character_count,label
Good product and discount a onk kome pelam,42,1
shampoo use kore hair feel korchi soft!! boro recommend korbo,61,1
"Packaging purai khola, security nai.",36,0
"amar jonno 3kg order korsi, pore valo mone korle neighbors er jonno o order dibo vabchilam. bt pkg eto chhera r tape lagano dekhle khub hatash holam!! asha kori valo pkg e valo prod pathaben inshaAllah",201,0
thanks daraz. brash ta onk soft❤️. sobai nite paren😊,52,1
"daras sob chor dia vora,sob batpar daras a",42,0
packet er obostha valo chilo na!! tai prod ta return korechhi. ekhon amar taka kobe pabo othoba prod abar kobe pabo?? 😤,119,0
ha thik Thak paychi Janina vitore ki ache use kora hoyni dekhte to valoi but gate up kalo color diyece,102,1
Return system pura headache. Ami ar parchi na.,46,0
bhai khubi baje kaj hoise amar shate!! jinis ta copy chilo 😤,60,0
sound jemon asha korchilam daam onujayi temon ashanurup painai 😒,64,0
"Device overheat hoy, use kora risky.",36,0
"Ekhon theke shop e giye kinbo, online er upor trust hariye geche.",65,0
"Packaging normal poly, kono safety nai.",39,0
"Jeta order korchilam, sheta naki stock e chilo na, taage ekta onno jinish pathiye dise. E ki osommob dhristhota!",112,0
Daraz er service din din bekar hocche.,38,0
mota muti onek valo.,20,1
"Waterproof bole becheche, pani porle e bekar hoye jay.",54,0
"babohaar kori nai, kore dekhte hobe.",36,0
Alhamdulillah 2 ta order disilam 2 tai paici Alhamdulillah. product quality super🔥 sayle apnaraw nite paren. price hisabe onk vlo quality'r product eta..tnq u daraz,164,1
rice quality ektu niche average. cooking e time beshi lagce,59,0
Daraz ar ageer moto nai. Khub bekar.,36,0
Ami frustrated. Money waste. Kono kajer na ei jinish.,53,0
Seller kono response kore na. Daraz CS o useless.,49,0
Colour totally different. Amar choice chilo na.,47,1
"4 more time I brought  this product. Quality is good.when this product finish my home , I will buy this product. Thanks seller & thanks daraz fore offer price rate product.",172,1
very good sound and battery quality.  and delivery was really quick. packaging was really good. there’s no way to be damaged,124,1
"anar por 1 ghonta kaj korse er por ses ar kaj e kore na
kew nite chyle nij bayette niben build quality o khub bhalo na sohoje e nosto hoe jete pare",147,0
order disi black asche blue....packeting man temon valo na,58,0
"koyek din babohaar korlam, ekhon ekta cholei na🙂 fawl jinish🙂",61,0
"khub e soft brush ta, amr baby akhon daily brush kore,, karon aita dile dat brush korle onk vlo lage,,, khub e norom aita,,, jeshob baby er notun dat tader jonno best,,, 😍😍😍😍thanks for daraz,,, amon onek jinis ase ja hat ar kase pawa jay na,, daraz segulo khub kom a dam a basar kase diye jacce,,, seller vai kew tnx, shob gulo products vlo silo",345,1
mone hochhe valoi hobe. tobe babohaar korle bujha jabe er quality.,66,1
Thanks for the 5-star! 😊 Amader store-e regular offer chole – abar nite ashben! 🛒,81,1
Offline kinbo ekhon theke. Online e trust nai.,46,0
Valo ache,9,1
amr jiboner shbcheye khrp prdct.....,36,0
Product chobi theke pura alada.,31,0
onk valo alhamdulillah.... pakeing o valo cilo,46,1
product vlo delivery o time motoi cilo..,40,1
"batparir ekta limit thaka uchit. 300 taka moolyo 2 packet 72% discount e 95 taka likhe offer likhchen, jekhane coil er gaye moolyo likha 70 taka.",145,0
Alhumdulillah sob tik tak chilo tnx minister 🥰🥰🥰,48,1
Daraz customer loss korche.,27,0
"2ta order korechi, 1ta chhiri gece + lighter er obostha kharap!! keu neben naa 🚫",80,0
"lifeTa chhoto hole hobe ki, kaj boro boro dekhte o khub sundor lage. delivery man taka onek por bkash e niyeche. chaile apnara nite paren.",138,1
Daraz er ekhon value nai.,25,0
"shotti bolte ei coilti onek valo. kintu jevabe daam barteche mone hochhe aaro koydin por dukan theke aante parbo. sorboprothome niyechilam 80 takaay, ar ekhon 110 taka.",168,0
"bazarer theke kom daame paichi, mone hochhe valoi hobe.",55,1
tracksuit quality boro boro!! gym er jonno perfect. will reorder,64,1
Colour chaisilam black disi red...But product valoo,51,1
very poor quality I want to back it,35,1
headphone bajei na 😤 total waste,32,0
jiboner prothom daraz amake ekta valo kichu diyeche. apnioo nite paren. jinishTa valoi ache.,92,1
olpo kichu ache complete kora jai na,36,0
sofa cover fit korce na properly. size chart accurate na,56,0
3ta order korchi 3tai tik moto paichi...packaging darun chilo...ekhon dekhi product kemon hoi...asha kori valo hobe,115,1
thik Thak ace original face wash delivery man ar bebohar o vlo cilo,67,1
Product gulo dekhe authentic mone hocche... kom daam e onk valo paichi Alhamdulillah.. Baki ta use kore buja Jabe..,115,1
ekdom nosto pailam!! prothom daraz theke protarited holam. onek order koresi bt eikbar vishwas venge gelo. ar kichhu newar sahos hobe na 😢,138,0
exeent,6,1
"sounds quality price onujai eto ta bhalo na . 

base bhalo onek .. 

battery backup  10/10

ENC thakar por o Call er performance satisfying na . 

jore kotha bola lage . 

build quality o bhalo . 

overall

8/10.

Thanks for the super fast delivery.. 

kal order korsi ajke paiya gesi.",285,1
nice and good product,21,1
shob kichu e thik ache kintu sound baire shona jay.,51,0
"Used product pathiyeche, notun bole becheche.",45,0
"kharap na, budget onujayi chole, tobe kotha bolar shomoy ektu shomoshya hochhe.",79,0
product ta bhalo e. kom dame exercise korar jonno bhalo ekta jinish. also thanks to the shop and delivery boy,109,1
price ta ektu beshi bt quality oshadharon. worth it 💯,53,1
flash sale te order korle fast delivery pacchi!! daraz trick jani ekhon 😂,73,1
Etto regret. Ki ar bolbo.,25,0
sob thik moto ache. thank  you daraz,36,1
"Asole jinis ta khuboi vlo... apnara chaile nite paren.. Ami akta neyar por bebohar kore vlo paichi tai arekta order disi...
asolei aita premium vive ase",152,1
it's good. my children are so happy with this toy. tnx to seller.,65,0
valo...khub soft,16,1
"good discount, product o valoi ase so chole",43,1
Jal product beche Daraz. Shame!,31,0
kine apsos hcche.,17,0
treadmill delivery late r assembly service pathay nai. frustrating,66,0
"awesome Packaging and nice products,  Prize chilo 130 tk ami paichi only 92 tk",78,1
rose water ta genuine mone hocce!! skin refresh feel. good buy,62,1
it's a good product quality. next time abar order dibo,54,1
daam hisebe jinish thik ache. dhonnobad seller.,47,1
"product ti onek valo r fast delivery chilo r ami vule amar onno product ta valo na hoyai return korte giye eitai refund kore felechi r ami ta cancel korte chai . asa kori help korben 
Thanks 👍",192,1
Vary nice my son really like it,31,1
Ami online shopping er upor theke trust haralam.,48,0
Very good product. my pricing 270.,34,1
"packaging khubi baje!! 5kg er modhye 3kg thik ache. 1kg er 1 packet ektu chhera, anoyta chhera + stapler pin diye atka ache. 1 packet return request pathiyechi 😤",161,0
"Battery backup zero, ekdom chalu kortei off hoye jay. Ki beche Daraz?",69,0
"khub e low quality  1 week por right side chire gese, seller kono massage response kore nah.",92,0
minister er brand ta valo. asa kori detergent O valoi hobe.,59,1
ektu late deliver hoilo bt product ta masha allah khub valo. 5 star,67,1
Amar nittodiner shongi. Shob somoy kini,39,1
"Delivery late, product broken. Ei Daraz keno erokom hoy!",56,0
ponno quality vlo chilo..,25,1
motamuti valo,13,0
amr bisshash shob sesh,22,0
4 ta light niyechi. 3 ta valo. ekti light jole kintu motor ghore na.,68,0
ata khub e soft amr kache Valo lagche,37,1
"its may be duplicated 
but price range not Higher than",54,0
packet ager thke chra chlo,26,0
"khub baje coil, 8 ghonta chole, ar chokh jole 12 ghonta.",56,0
"offer chilo 4ta er shathe 1ta dibe, dilo 4ta!! ei rokom dhokabaji customer der shathe bondho koren 😡",100,0
valo chole,10,1
jinis ta 2 din use korte na korte nosto!! 500tk er product 2 din o tikhe na. daraz quality check kore na? 😡,107,0
date + pkg thik ache bt packet chhera!! eto chhera packet dewa thik hoy ni 😒,76,0
I bought it for the first time and haven't used it yet.,55,0
Review system pura manipulated. Daraz er shob jhoot.,52,0
Next time onno site theke kinbo.,32,0
"motamuti thik ache, eto kharap na bt delivery onek deri hoiche!! charger cable nei, shob phone e connect hoy na. dara khayen na, ektu daam diye valo ta niben ❤️‍🩹",162,0
jinish valo aga nisi. abar nilam. r o nibo. InshAllah,53,1
"Warranty card blank, etar mane ki?",34,0
"Quality is quit good., You can buy this. Seller is Trustworthy.",63,1
"ki ekta product dilo amake daraz! khuboi baje, eka eka baarbaar on off hoye hoy😩",80,0
khub Valo products.no smoke products,36,1
it is very nice .  Any one can rely on them,43,1
khub soft ebong Valo ekti jinis,31,1
delivery man product ta door e throw kore diye gelo!! box crush hoye gelo. kono care nai 😡,90,0
Vai jinis thik ase but colour ta thik pailam na . chaisilam black dilen pink😠,77,0
khub baje product.charger port valon abong packaging valona,59,0
"total rubbish!! taka nosto + kapor nosto. keu kinben na!! faltu prod. 2kg niyechi, kono kajer na. shosta khujhle bipod 😡",120,0
oats quality good!! breakfast e khub fill feel hocce. healthy choice,68,1
dam arktu kom hole valo hoto,28,0
jmn ta asha krchilam tmn ta na,30,0
ekdom baje jinis bhai 😡,23,0
akhono use kori nai but 3kg nisi.. dam kom tai nilam akhon Dekhi Kemon hoy..,76,0
facewash ta vitore kom kom mone holo,36,0
facewash pichon dike fete ber hochhe!! ki akta obostha. beshit ta khub kharap laglo 😤,85,0
products of very cohise ful..,29,1
backlight nai to..!!!,21,0
"Received in good condition.
Genuine product.
Considering the price and quality, I am highly satisfied.
A lot of thanks to Daraz and the seller.
More thanks to Daraz for the free gift.",183,1
usefull,7,1
Nice But choice e 5 products nicilam daraz bolcilo gift dei but kichu deini.. gift jokhn dibeni nah to mittha kn bolen,118,0
"finishing+ color+ quality it's amazing .. pochondo hobei.. mashallah.. seller bhaiya well mannered. inshallah next time aro nibo...bhaiya sundor sundor quality ful toys anben...
& packaging valo chilo .. r delivery man vaiyar behavior o onek valo .
r fast delivery peyechi...",275,1
"Rong dekhechilam light blue, esheche dark navy. Amar pochondoi hoy nai.",71,0
"facewash ta onk valo ,,sathe extra oiduita gift paisi,,onk dhonnobad",68,1
Seller chat e reply dei na. CS o useless.,41,0
order korar shomoy vabchilam vanga pabo kintu valo vabe peyechi. apnara order korte paren.,90,1
Daraz er reputation ekhon bekar.,32,0
Goood quality 🩶,15,1
..but arektu valo asha korechilam,33,0
vlo onak tat ahavvsisisvisviwvusbw,34,1
seems nice and product is authentic,35,1
"etar age jatogulo product order diyechi shobgulo chilo valo, kintu idanong ei je productTa asheche khuboi kharap. mone hocche puran puran. ei product ta ami return korte chacchi.",178,0
"chobi te jemon dekhci!
temontai!
amar baby khub pocondo korce",61,1
"Camera quality zero, photo tule puro jhapse hoye jay.",53,0
alhamdulillah!  onek valo caile apnara sobai nite paren 😍,57,1
kom dame valo jinis ...bahire ae dame kono sabaner gura e dekhini,65,0
Khub bhalo akti product....,27,1
Ear phone ta valoi. Bt black color ta paile khusi hoitam,56,1
Product ta hathat kore kaj kora bondho kore dilo.,49,0
"khuboi baje product. ekTa valo, dan kaner ta noshto paichi.",59,0
Product description pura mitha.,31,0
Himalaya facewash is always  favourite to me. I like  to use this product  very much. Thanks for fast delivery.,111,1
akner nisi abar nilam druto sesh hhe jay karon onek patla besi ghono na facewash ta...valo kaj kore oily skin e,111,1
This is a very good product. I really like this product,55,1
ai produced onk valo cgaila apnaraw neta paren and onk valo akta produced tai ame oder korese and onk valo vade oder ti oeyase and onk fast delavare pays and onk valo ata produced chaila apnaraw neta paren ame o neyase and salor vai ka onk onk thanks and darz kaw thabks ato valo produced dawar jonno,300,1
Vai Er Pacaging Silo Just Wow. Ageo Use Korsi Valo Product,58,1
Ei product ta 1 star o deserve kore na.,39,0
Mashallah kub Valo product,26,1
"best product,,  jemonta ceyechi temon i peyechi..❤️
caile nite paren",68,1
Amar taka pura pani te gelo. Kine vul.,38,0
thank you sir.ato sundor akta review deor jonno,47,1
Amar frustration ekhon akashe.,30,0
"jerokom cheyechi temon painai!! kalo ring order korechi, diyeche nil ring. keno?? 😒",83,0
"Screen quality onek kharap, chobi dekhte o bujhte pari na.",58,0
"prothomot shob thik ache bt mukh ta vanga 🤬 dwitiyot parcel deri kore esheche. last, delivery man er byabohar khub kharap, shudhu gaali dey!! tar name complain korbo 🖕🖕",168,0
1 din use krar por vnge gche,28,0
this always good. face wash and dry cleaning wipes 😦😦,53,1
"Amar ei review ta pore jodi keu na kine,",40,0
"Too much vibration, painful to use.",35,0
Hope Daraz faces consequences for this.,39,0
"product er expiry date check korte parini, label blur chilo",59,0
Thik jemon cheyechi temon peyechi. Sobai kinte paren. Kono shomossha painai. Thank you seller k.,96,1
grip onek valo!! 2 din use kore review dicchi. bt amar order chilo black color diyeche anoyo rong!! ta chara shob valo nite paren 😒,131,0
Size chart ta pura vul. Amar jinish ta ekdom fit hoy nai. Return korteo jhamela.,80,0
Time o money duita nosto holo.,30,0
Good quality product. apnara nite paren.,40,1
2ta nose cleanser + 2ta chhoto brush order chilo bt diyeche 1ta!! vul hoyeche please 1ta solution den 😥,103,0
Jeta order korchilam tar moddhe aro ekta onno jinish chilo. Ki hocche Daraz e?,78,0
Seller amake misguide koreche. Wrong information.,49,0
"Alhamdulillah pawdar gula o onk Valo 
kom price er moddhe
sobai chaile nite paren",81,1
"khub valo product. 
sobay nite paren.",37,1
Valo na product. offer a nisi tai temon asha o korini,53,0
"Price hishebe product thikase. But I requested the seller to give me a black one, he did saw my message still sent me an orange one. Very unprofessional",152,1
I hate Daraz for this.,22,0
alhamdulillah olpo daame onek sundor hoyeche. bachha khubii khushi ei aalo dekhe.,81,1
"Camera focus thik hoy na, shob blurred.",39,0
I did not get my package.... The delivery man marked it as delivered without delivered at all. Even he didn't call me. Its a fraud,130,0
"Jeta pathanor kotha, sheta na. Purai bekar product.",51,0
"vitore facewash kom, 
r ektu chotw krlei parten 🥲.
ekhono use kri nai",69,0
thank you sir.ato sundor akta review deor jonno,47,1
"shobkichu valo bt prob holo tin ta prod kinle choice e delivery free er kotha, kintu delivery free na hoye 10tk hoye gece 20tk!! product valo asha kori valoei hobe",163,0
83 takai pelam choice voucher diye. Good deal.,46,1
Khub kharap quality. Daraz er theke eta expected na.,52,0
received the coils. I always liked these. this is my 3rd time purchase from them. although no coil is good but these are far better than other coils in the market.,163,1
"dekhte sundor kintu jinishTa halka, tike koydin ta bujha jacche na.",67,0
"Duplicate copy, original er moto kichu na.",42,0
"product ta jakhon kinchilam vabchilam valo. prothom dike onek valo chilo prai ek ghonta. tarpor hothat ar chole na, ghureo na, jolweo na. ekdam pochhamaal bhai, eta keu kinben na.",179,0
"120tk diye nilam 12.12 e, ekhon 12.12 seshe dekhi 99tk, e kmn bichar🙁",69,0
valo product,12,1
"Delivery charge o waste, product o bekar.",41,0
khub valo hoyeche productta.,28,1
Daraz er branding o kharap hocche.,34,0
"shob thik ache bt beshidin tike ni!! nosto hoye gece, warranty onek kom 😒",73,0
"Waterproof bola hoise, pani lagle e dead.",41,0
fresh was ta value for money..ar onk vlo,40,1
cream ta face e diye rash berolo!! sensitive skin er jonno suitable na sure,75,0
dilam kalo aslo komola colour,29,0
onk soft .. jmn dekhaise omn e,30,1
sracthed maybe used..  build quality temon na norbore.. ,56,0
"return request disi 4 din age, ekhono pickup hoy ni!! helpline e hold e rekhe kat dilo. daraz er service deteriorate hocche 📉",125,0
eto kom price a pabo chinta korte parini expire date taw long peyechi thanks 👍🏼,79,1
purai osthir jemonti chaichi temontii paichi🥰🥰🥰😍❤️ ar ami je ta comment korbo sheta nishchintay nite paro💯,106,1
"Daraz CS shudhu 'apology' kore, action zero.",44,0
magnetic cutting fruit toy hole vlo hoto,40,0
valo products,13,1
"Authentic product, I'm pleased on this product also delivery n package 👌✅",73,1
Seller ta ekta cheat.,21,0
play kitchen set cute!! bachcha creative hoye khelte parce. love it,67,1
thank you sir.ato sundor akta review deor jonno,47,1
"ato faltu jinish er dam 50 taka hoilew beshi
shob tk purai jole gelo 
free dilew newa uchit na",94,0
Gave it to my brother.He like this face wash.,45,1
"Kom er vitor onk valo quality ai detergent ta
ai niye 3bar order korlam",71,1
Ei jinish kinar theke na kinai bhalo chilo.,43,0
faltu prod!! weight komano barano system nei. keu bhuleooo kinben na 🚫,70,0
The product is delivered in good condition. The quality of the product is good as well.,87,1
onk vlo... thanks Daraz❤️❤️,27,1
100% original product. Recommend facewash for men. Best wishes to seller & thanks DARAZ.,88,1
khub kharap!! charge ekdom thake na. keu niben na 🚫,51,0
moisturizer ta 3 din e finish hoye gelo!! size description e misleading,71,0
"charging nite boro time lage + full charge e 1 ghontao backup dey na!! totally useless, waste of money",102,0
Vhaloi acheee krp nh nite paren💗,32,1
eto baje prod jibone o dekhini!! screw eto shokto je 1ta o adjust kora jay na!! ar kalo prod deoar kothay bole nil diye diyeche 😡,129,0
"Khola packet e esheche, jeta ekdom unprofessional.",50,0
kom dame Valo product and sundor sounds system,46,1
wrong product delivery peyechi...Totally disappointed!,54,0
Budget e onek valo ekta micellar water...amr skin type sensitive tao motamoti valo suit koreche. Recommended!,109,1
Alhamdulillah product found as per order. Per Kg Cost  98.00 Tk MRP: 130 Tk,75,1
Ei jinish ta kine amar mon vanglo.,34,0
"dhowa prochur, age order korechi no smoke chilo. ar eta shesh korar 30 minute pore o ghore mosha ghore.",103,0
"power button nosto chilo,",25,0
product damage chilo,20,0
Ami amar friends der Daraz use korte mana korchi.,49,0
sobai nite parn average,23,1
khub e kharap packaging daraz er packaging er dike nojor deya uchit,67,0
ki bilbo bolar kichu nei alo thik ache bat fata gacha,53,1
"ei nie dwitiyo baarer moto nilam, khub valo.",44,1
Amar mon kharap hoye geche ei jinish dekhe.,43,0
coil gulo onek sundor. ebaar die ami tinbaar niyechi. chaile apnarao nite paren. ei daamer modhye eto sundor kore keu dite parbe na. osongkhyo dhonnobad sellarke. mosha ogyan hoye jay.,184,1
Seller ra shudhu customer ke thokay.,36,0
"motamuti valo mone hochhce, use kore dekhte hobe kemon. kharap hole abar edit kore likhbo",89,0
The return policy is a complete maze.,37,0
eitar quality Valo . sound quality o Valo . and good looking ☺️ sob miliye Valo,79,1
Quality tik e aca… recommended,30,1
The product is non-functional.,30,0
Alhamdulillah Jerokom photo te dekhaise orokom same to same dise.,65,1
Daraz er branding o ekhon faltu hoye geche.,43,0
You didn't give a box with it. You should provide a box with it!,64,0
Colour black pai nai,20,0
Ata mita multi valo,19,1
Nirma ta dam onijai onk vlo.. kapor ohh sundor wash hoi.. thank you,67,1
ei milaya 2nd time order korlam khub balo oacket er gaye 130 tk lekha,69,1
Daraz keno erom seller allow kore? Bujhte parchi na.,52,1
cashback offer properly apply hoilo!! total discount satisfied kore dilo,72,1
"Delivery charge o gelo, product o gelo. Double loss.",52,0
The mosquito coil is useable and  serves purpose.,49,1
"good, valo poriskar hoy.damer tulonay man valo ace",50,1
"valo, chaile nite paren, ami ageo koyek baar niyechi.",53,1
"prothombaar order korechi, khub valo, seller bhai ke dhonnobad.",63,1
fast dellyvery.product original but Himalayan face wash vlo na.full use kore review dilam. Delivery man new last 3bar dlvry disilo extra tk khuje.amnete cl dia tk khujsilo lol.ar por theks order di na r daraz a,210,1
price onujai product onek valo,30,1
ami black color caisilam unara blue color disa aminta product ta valoi apnara caila nita paran!!,96,0
ALHAMDULILLAH..qwt,18,1
Minister er One wash. ami onek gulo neyechhe.valo.nite paten.,61,1
duibaar niyechi ebong valo vabe peyechi.,40,1
water bottle leak kore!! side e press korle cap theke water bere ashe,69,0
quality topnotch. But sound ta ektu bass busted overall good 💯.  9 out of 10,76,1
good goodgood goodgood goodgood goodgood good,45,1
alhamdulillah 89 taka kince 1 kg Cashback o paise shob mily just wow,68,1
Ei product er moto faltu product ar dekhi nai.,46,0
onk valo.  2028 porjonto meyad ache. Xoss,41,1
"1ta valo, anoyta kharap diyeche!! thik koren nai eta 😒",54,0
Sound quality temon valo na,27,0
Ami amar bandhu der o Daraz theke kinte mana korbo.,51,0
thikasa chaysilam black payasi blue.,36,0
prothombar eto baje packaging pailam!! packet fete powder puro box er moddhe chhorie gece 😡,91,0
daam hisabe valo jinish❤️,25,1
Jinistai toh pai ni. order nen tk nen bt manush er 2ta product den akta den na.,79,0
"colour ekdom pic er shate match kore na!! description e 'navy blue' likha, ashche 'black'. misleading listing 😤",111,0
"dhuwa beshi hoy, chokh jole.",28,0
dress ta arrive korse bt 3 size beshi. return process boro jhamelar,67,0
"Product vlo
packeging vlo chilo 
thanks seller and daraz 😊",58,1
"daraz k shorai dibo,,amk thokaice",33,0
"Delivery ekdom slow, ar jinish o bhenge geche.",46,0
water gun onek fun!! summer e kids er fav. strong build quality,63,1
Mon kharap hoye gelo dekhe. Expected na.,40,0
Er age akta light nilam onk valo hoyechilo. sejonno abr 5 ta light order korlam kintu erokom kharap product diben vabteo pari ni. Lok thokanor business suru korechen naki? Delivery charge free diyechen bole kharap product diyechen taina? Ebarer light a akdom power kom and very slow. Baje products,297,0
"alhamdulillah onk kome pelam😃.
11.11 offer e nilam.
bkash payment e Cashback bade 75 tk kg porche sathe abr 1 packet extra free diche seller vaiya 💖💖
thank you so much seller vai r daraz
r delivery man vai to purai💕💕💕 unkeo thanks",230,1
use korlam 2/3 din pore akhon AR charge dileo on Hoy na  ata ki change kore dite parben,87,0
"bola hoyechilo panchta item kinle ekti gift free, kintu ami kichu painee.",73,0
"very good product. Recommend for everyone.
overall is fine . Thank's to Daraz & The Seller.",91,1
"best quality,, but ektu choto,, tao dekhte cute ache,, ar sound ta motamuti valoi ache..
sobai nite paren,, seller ke thanks..",126,1
product quality valo ache. sabai nite paren.,44,1
"2027 saal porjonto meyad ase🎉🥳
ekhono bebohar kori nai kintu packing onk sundor silo😊😊😊",87,1
"daam hisabe productTi valoi, tobe button systemTi chole na, dukher bishoy.",74,0
organizer tray khub helpful!! drawer neat hoye gece. recommend,62,1
packaging akdom e kharap ja bolar moto na daraz ar ai jinish ta vlo kore kheyal kora dorkar ... product vlo chilo .. expired date 26 porjonto overall good,154,0
Good Moshar Coil,16,1
"valo na, faltu!! third class. keu neben na, fena hoy na 😡",57,0
blazer fitting ekdom perfect!! office e onek compliment pailam,62,1
gym gloves fitting perfect!! palm grip boro boro. worth every taka,66,1
It came with scratches and dents.,33,0
One wash being good quality with good condition,47,1
khub sundor Apple Air buds,26,1
"pkg thikthak chilo, packet intact bt prob ta hocche mone hoy prod ta karo return kora!! amar order label chara aro ekta label ache, tai artho chhera, age o tape mara er dag ache. major prob na, prod thik thakle e hobe",217,0
"with counter ta nile 100% satisfied thakben!! bairer theke import, darun finishing. without counter ta local, valo o hote pare, fata vanga nojuk o hote pare. seller check na kore dile kharap pora chance beshi. with counter ta nen 100% sontoshto thakben ❤️",255,0
curtain color boro beautiful!! fabric heavy and quality. room transform hoye gece,81,1
product Khub e vlo . use korci vloi mone hocce,46,1
Product er gondho pure chemical. Matha betha.,45,0
amar ungul dhuke na. fuda ta choto,34,0
Kono use nai ei product er.,27,0
Got original...and 2ta eksathe nisi 200 taka save.. bisshash kora jay?,70,1
Jeta chaisi oita pai nai 🙂👎,27,0
kena hoye gelo bt tracking update e nai!! 1 soptah dhore 'shipped' e atkhe ache. daraz app useless 😤,100,0
"2 packet powder niyechi, 1ta fata chilo + onno prod er gaye lege gece. kharap na bt use kore dekhi ni, use kore jaanabo again",125,0
nice but idk koto din valo thakbe,33,1
tobe dam last 1mnt e bere gache pocha flatu,43,0
Ekdin use kortei colour uthe gelo. Eto kharap quality mone hoi na kono brand er hoy.,84,0
"Nice Brush
Very soft & Easily usedable.",39,1
